Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Nuance liste 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Nuance liste 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Nuance liste 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Nuance liste 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,codeBureauVote
62771,Sallaumines,0003,576,269,46.7,307,53.3,259,44.97,96.28,6,1.04,2.23,4,0.69,1.49,LCOM,180,31.25,69.5,LDIV,79,13.72,30.5,NA,NA,NA,NA,NA,NA,NA,NA,62771_0003
62771,Sallaumines,0004,834,404,48.44,430,51.56,390,46.76,96.53,8,0.96,1.98,6,0.72,1.49,LCOM,258,30.94,66.15,LDIV,132,15.83,33.85,NA,NA,NA,NA,NA,NA,NA,NA,62771_0004
62771,Sallaumines,0005,786,397,50.51,389,49.49,381,48.47,95.97,0,0,0,16,2.04,4.03,LCOM,251,31.93,65.88,LDIV,130,16.54,34.12,NA,NA,NA,NA,NA,NA,NA,NA,62771_0005
62771,Sallaumines,0006,860,460,53.49,400,46.51,436,50.7,94.78,13,1.51,2.83,11,1.28,2.39,LCOM,278,32.33,63.76,LDIV,158,18.37,36.24,NA,NA,NA,NA,NA,NA,NA,NA,62771_0006
62771,Sallaumines,0007,853,334,39.16,519,60.84,324,37.98,97.01,4,0.47,1.2,6,0.7,1.8,LCOM,231,27.08,71.3,LDIV,93,10.9,28.7,NA,NA,NA,NA,NA,NA,NA,NA,62771_0007
62771,Sallaumines,0008,761,365,47.96,396,52.04,346,45.47,94.79,13,1.71,3.56,6,0.79,1.64,LCOM,196,25.76,56.65,LDIV,150,19.71,43.35,NA,NA,NA,NA,NA,NA,NA,NA,62771_0008
62793,Servins,0001,839,511,60.91,328,39.09,407,48.51,79.65,44,5.24,8.61,60,7.15,11.74,NA,407,48.51,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62793_0001
62801,Souchez,0001,999,548,54.85,451,45.15,459,45.95,83.76,53,5.31,9.67,36,3.6,6.57,NA,459,45.95,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62801_0001
62801,Souchez,0002,1195,634,53.05,561,46.95,511,42.76,80.6,50,4.18,7.89,73,6.11,11.51,NA,511,42.76,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62801_0002
62842,Vendin-le-Vieil,0001,1066,649,60.88,417,39.12,628,58.91,96.76,13,1.22,2,8,0.75,1.23,LDVG,446,41.84,71.02,LDIV,182,17.07,28.98,NA,NA,NA,NA,NA,NA,NA,NA,62842_0001
62842,Vendin-le-Vieil,0002,1054,603,57.21,451,42.79,580,55.03,96.19,12,1.14,1.99,11,1.04,1.82,LDVG,412,39.09,71.03,LDIV,168,15.94,28.97,NA,NA,NA,NA,NA,NA,NA,NA,62842_0002
62842,Vendin-le-Vieil,0003,944,491,52.01,453,47.99,477,50.53,97.15,11,1.17,2.24,3,0.32,0.61,LDVG,329,34.85,68.97,LDIV,148,15.68,31.03,NA,NA,NA,NA,NA,NA,NA,NA,62842_0003
62842,Vendin-le-Vieil,0004,1048,635,60.59,413,39.41,618,58.97,97.32,11,1.05,1.73,6,0.57,0.94,LDVG,419,39.98,67.8,LDIV,199,18.99,32.2,NA,NA,NA,NA,NA,NA,NA,NA,62842_0004
62842,Vendin-le-Vieil,0005,897,415,46.27,482,53.73,408,45.48,98.31,4,0.45,0.96,3,0.33,0.72,LDVG,300,33.44,73.53,LDIV,108,12.04,26.47,NA,NA,NA,NA,NA,NA,NA,NA,62842_0005
62842,Vendin-le-Vieil,0006,842,476,56.53,366,43.47,461,54.75,96.85,9,1.07,1.89,6,0.71,1.26,LDVG,295,35.04,63.99,LDIV,166,19.71,36.01,NA,NA,NA,NA,NA,NA,NA,NA,62842_0006
62854,Villers-au-Bois,0001,436,261,59.86,175,40.14,214,49.08,81.99,31,7.11,11.88,16,3.67,6.13,NA,214,49.08,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62854_0001
62861,Vimy,0001,851,530,62.28,321,37.72,508,59.69,95.85,11,1.29,2.08,11,1.29,2.08,LDIV,160,18.8,31.5,LDIV,348,40.89,68.5,NA,NA,NA,NA,NA,NA,NA,NA,62861_0001
62861,Vimy,0002,845,523,61.89,322,38.11,496,58.7,94.84,17,2.01,3.25,10,1.18,1.91,LDIV,168,19.88,33.87,LDIV,328,38.82,66.13,NA,NA,NA,NA,NA,NA,NA,NA,62861_0002
62861,Vimy,0003,905,637,70.39,268,29.61,608,67.18,95.45,20,2.21,3.14,9,0.99,1.41,LDIV,171,18.9,28.13,LDIV,437,48.29,71.88,NA,NA,NA,NA,NA,NA,NA,NA,62861_0003
