Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Nuance liste 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Nuance liste 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Nuance liste 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Nuance liste 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,codeBureauVote
62001,Ablain-Saint-Nazaire,0001,680,477,70.15,203,29.85,454,66.76,95.18,11,1.62,2.31,12,1.76,2.52,NA,158,23.24,34.8,NA,296,43.53,65.2,NA,NA,NA,NA,NA,NA,NA,NA,62001_0001
62001,Ablain-Saint-Nazaire,0002,824,584,70.87,240,29.13,552,66.99,94.52,20,2.43,3.42,12,1.46,2.05,NA,195,23.67,35.33,NA,357,43.33,64.67,NA,NA,NA,NA,NA,NA,NA,NA,62001_0002
62003,Acheville,0001,525,394,75.05,131,24.95,389,74.1,98.73,2,0.38,0.51,3,0.57,0.76,NA,239,45.52,61.44,NA,150,28.57,38.56,NA,NA,NA,NA,NA,NA,NA,NA,62003_0001
62019,Aix-Noulette,0001,951,639,67.19,312,32.81,619,65.09,96.87,10,1.05,1.56,10,1.05,1.56,LDVD,78,8.2,12.6,LDVG,328,34.49,52.99,LDVG,213,22.4,34.41,NA,NA,NA,NA,62019_0001
62019,Aix-Noulette,0002,927,649,70.01,278,29.99,620,66.88,95.53,21,2.27,3.24,8,0.86,1.23,LDVD,86,9.28,13.87,LDVG,310,33.44,50,LDVG,224,24.16,36.13,NA,NA,NA,NA,62019_0002
62019,Aix-Noulette,0003,1145,779,68.03,366,31.97,749,65.41,96.15,19,1.66,2.44,11,0.96,1.41,LDVD,76,6.64,10.15,LDVG,439,38.34,58.61,LDVG,234,20.44,31.24,NA,NA,NA,NA,62019_0003
62032,Angres,0001,951,687,72.24,264,27.76,659,69.3,95.92,13,1.37,1.89,15,1.58,2.18,LCOM,314,33.02,47.65,LDIV,345,36.28,52.35,NA,NA,NA,NA,NA,NA,NA,NA,62032_0001
62032,Angres,0002,841,586,69.68,255,30.32,574,68.25,97.95,5,0.59,0.85,7,0.83,1.19,LCOM,272,32.34,47.39,LDIV,302,35.91,52.61,NA,NA,NA,NA,NA,NA,NA,NA,62032_0002
62032,Angres,0003,856,552,64.49,304,35.51,540,63.08,97.83,8,0.93,1.45,4,0.47,0.72,LCOM,216,25.23,40,LDIV,324,37.85,60,NA,NA,NA,NA,NA,NA,NA,NA,62032_0003
62032,Angres,0004,776,502,64.69,274,35.31,483,62.24,96.22,3,0.39,0.6,16,2.06,3.19,LCOM,207,26.68,42.86,LDIV,276,35.57,57.14,NA,NA,NA,NA,NA,NA,NA,NA,62032_0004
62033,Annay,0001,1058,676,63.89,382,36.11,642,60.68,94.97,25,2.36,3.7,9,0.85,1.33,LDVG,146,13.8,22.74,LDVG,64,6.05,9.97,LDVG,174,16.45,27.1,LECO,258,24.39,40.19,62033_0001
62033,Annay,0002,1024,621,60.64,403,39.36,594,58.01,95.65,18,1.76,2.9,9,0.88,1.45,LDVG,131,12.79,22.05,LDVG,31,3.03,5.22,LDVG,171,16.7,28.79,LECO,261,25.49,43.94,62033_0002
62033,Annay,0003,1298,812,62.56,486,37.44,763,58.78,93.97,34,2.62,4.19,15,1.16,1.85,LDVG,155,11.94,20.31,LDVG,75,5.78,9.83,LDVG,222,17.1,29.1,LECO,311,23.96,40.76,62033_0003
62065,Avion,0001,1050,635,60.48,415,39.52,626,59.62,98.58,4,0.38,0.63,5,0.48,0.79,LRN,134,12.76,21.41,LFI,32,3.05,5.11,LUG,460,43.81,73.48,NA,NA,NA,NA,62065_0001
62065,Avion,0002,1166,716,61.41,450,38.59,700,60.03,97.77,5,0.43,0.7,11,0.94,1.54,LRN,158,13.55,22.57,LFI,30,2.57,4.29,LUG,512,43.91,73.14,NA,NA,NA,NA,62065_0002
62065,Avion,0003,951,482,50.68,469,49.32,477,50.16,98.96,1,0.11,0.21,4,0.42,0.83,LRN,95,9.99,19.92,LFI,55,5.78,11.53,LUG,327,34.38,68.55,NA,NA,NA,NA,62065_0003
62065,Avion,0004,1240,707,57.02,533,42.98,694,55.97,98.16,6,0.48,0.85,7,0.56,0.99,LRN,200,16.13,28.82,LFI,35,2.82,5.04,LUG,459,37.02,66.14,NA,NA,NA,NA,62065_0004
62065,Avion,0005,1268,741,58.44,527,41.56,732,57.73,98.79,4,0.32,0.54,5,0.39,0.67,LRN,188,14.83,25.68,LFI,57,4.5,7.79,LUG,487,38.41,66.53,NA,NA,NA,NA,62065_0005
62065,Avion,0006,1273,711,55.85,562,44.15,702,55.15,98.73,5,0.39,0.7,4,0.31,0.56,LRN,221,17.36,31.48,LFI,59,4.63,8.4,LUG,422,33.15,60.11,NA,NA,NA,NA,62065_0006
62065,Avion,0007,1115,630,56.5,485,43.5,617,55.34,97.94,8,0.72,1.27,5,0.45,0.79,LRN,195,17.49,31.6,LFI,35,3.14,5.67,LUG,387,34.71,62.72,NA,NA,NA,NA,62065_0007
62065,Avion,0008,830,468,56.39,362,43.61,458,55.18,97.86,7,0.84,1.5,3,0.36,0.64,LRN,118,14.22,25.76,LFI,20,2.41,4.37,LUG,320,38.55,69.87,NA,NA,NA,NA,62065_0008
62065,Avion,0009,920,537,58.37,383,41.63,526,57.17,97.95,5,0.54,0.93,6,0.65,1.12,LRN,125,13.59,23.76,LFI,35,3.8,6.65,LUG,366,39.78,69.58,NA,NA,NA,NA,62065_0009
62065,Avion,0010,1067,424,39.74,643,60.26,418,39.18,98.58,1,0.09,0.24,5,0.47,1.18,LRN,75,7.03,17.94,LFI,40,3.75,9.57,LUG,303,28.4,72.49,NA,NA,NA,NA,62065_0010
62065,Avion,0011,800,431,53.87,369,46.13,425,53.13,98.61,3,0.38,0.7,3,0.38,0.7,LRN,136,17,32,LFI,80,10,18.82,LUG,209,26.13,49.18,NA,NA,NA,NA,62065_0011
62065,Avion,0012,994,588,59.15,406,40.85,574,57.75,97.62,8,0.8,1.36,6,0.6,1.02,LRN,146,14.69,25.44,LFI,25,2.52,4.36,LUG,403,40.54,70.21,NA,NA,NA,NA,62065_0012
62107,Bénifontaine,0001,316,271,85.76,45,14.24,269,85.13,99.26,0,0,0,2,0.63,0.74,NA,176,55.7,65.43,NA,93,29.43,34.57,NA,NA,NA,NA,NA,NA,NA,NA,62107_0001
62133,Billy-Montigny,0001,872,459,52.64,413,47.36,445,51.03,96.95,10,1.15,2.18,4,0.46,0.87,LDVG,101,11.58,22.7,LRN,179,20.53,40.22,LCOM,165,18.92,37.08,NA,NA,NA,NA,62133_0001
62133,Billy-Montigny,0002,834,470,56.35,364,43.65,460,55.16,97.87,7,0.84,1.49,3,0.36,0.64,LDVG,107,12.83,23.26,LRN,173,20.74,37.61,LCOM,180,21.58,39.13,NA,NA,NA,NA,62133_0002
62133,Billy-Montigny,0003,792,520,65.66,272,34.34,518,65.4,99.62,2,0.25,0.38,0,0,0,LDVG,139,17.55,26.83,LRN,204,25.76,39.38,LCOM,175,22.1,33.78,NA,NA,NA,NA,62133_0003
62133,Billy-Montigny,0004,581,360,61.96,221,38.04,353,60.76,98.06,6,1.03,1.67,1,0.17,0.28,LDVG,60,10.33,17,LRN,171,29.43,48.44,LCOM,122,21,34.56,NA,NA,NA,NA,62133_0004
62133,Billy-Montigny,0005,836,506,60.53,330,39.47,493,58.97,97.43,5,0.6,0.99,8,0.96,1.58,LDVG,94,11.24,19.07,LRN,206,24.64,41.78,LCOM,193,23.09,39.15,NA,NA,NA,NA,62133_0005
62133,Billy-Montigny,0006,726,474,65.29,252,34.71,472,65.01,99.58,2,0.28,0.42,0,0,0,LDVG,62,8.54,13.14,LRN,222,30.58,47.03,LCOM,188,25.9,39.83,NA,NA,NA,NA,62133_0006
62133,Billy-Montigny,0007,654,402,61.47,252,38.53,395,60.4,98.26,6,0.92,1.49,1,0.15,0.25,LDVG,62,9.48,15.7,LRN,191,29.2,48.35,LCOM,142,21.71,35.95,NA,NA,NA,NA,62133_0007
62170,Bouvigny-Boyeffles,0001,997,565,56.67,432,43.33,518,51.96,91.68,22,2.21,3.89,25,2.51,4.42,NA,518,51.96,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62170_0001
62170,Bouvigny-Boyeffles,0002,965,503,52.12,462,47.88,468,48.5,93.04,23,2.38,4.57,12,1.24,2.39,NA,468,48.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62170_0002
62186,Bully-les-Mines,0001,990,564,56.97,426,43.03,555,56.06,98.4,6,0.61,1.06,3,0.3,0.53,LRN,167,16.87,30.09,LDIV,71,7.17,12.79,LSOC,317,32.02,57.12,NA,NA,NA,NA,62186_0001
62186,Bully-les-Mines,0002,1317,796,60.44,521,39.56,782,59.38,98.24,9,0.68,1.13,5,0.38,0.63,LRN,290,22.02,37.08,LDIV,84,6.38,10.74,LSOC,408,30.98,52.17,NA,NA,NA,NA,62186_0002
62186,Bully-les-Mines,0003,789,327,41.44,462,58.56,318,40.3,97.25,4,0.51,1.22,5,0.63,1.53,LRN,112,14.2,35.22,LDIV,31,3.93,9.75,LSOC,175,22.18,55.03,NA,NA,NA,NA,62186_0003
62186,Bully-les-Mines,0004,1034,528,51.06,506,48.94,515,49.81,97.54,7,0.68,1.33,6,0.58,1.14,LRN,204,19.73,39.61,LDIV,42,4.06,8.16,LSOC,269,26.02,52.23,NA,NA,NA,NA,62186_0004
62186,Bully-les-Mines,0005,1161,639,55.04,522,44.96,627,54.01,98.12,5,0.43,0.78,7,0.6,1.1,LRN,248,21.36,39.55,LDIV,132,11.37,21.05,LSOC,247,21.27,39.39,NA,NA,NA,NA,62186_0005
62186,Bully-les-Mines,0006,1164,675,57.99,489,42.01,663,56.96,98.22,6,0.52,0.89,6,0.52,0.89,LRN,213,18.3,32.13,LDIV,74,6.36,11.16,LSOC,376,32.3,56.71,NA,NA,NA,NA,62186_0006
62186,Bully-les-Mines,0007,1007,473,46.97,534,53.03,471,46.77,99.58,1,0.1,0.21,1,0.1,0.21,LRN,202,20.06,42.89,LDIV,61,6.06,12.95,LSOC,208,20.66,44.16,NA,NA,NA,NA,62186_0007
62186,Bully-les-Mines,0008,931,530,56.93,401,43.07,520,55.85,98.11,3,0.32,0.57,7,0.75,1.32,LRN,183,19.66,35.19,LDIV,79,8.49,15.19,LSOC,258,27.71,49.62,NA,NA,NA,NA,62186_0008
62186,Bully-les-Mines,0009,1023,560,54.74,463,45.26,548,53.57,97.86,4,0.39,0.71,8,0.78,1.43,LRN,152,14.86,27.74,LDIV,60,5.87,10.95,LSOC,336,32.84,61.31,NA,NA,NA,NA,62186_0009
62213,Carency,0001,666,373,56.01,293,43.99,335,50.3,89.81,26,3.9,6.97,12,1.8,3.22,NA,335,50.3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62213_0001
62291,Eleu-dit-Leauwette,0001,862,481,55.8,381,44.2,466,54.06,96.88,8,0.93,1.66,7,0.81,1.46,NA,157,18.21,33.69,NA,309,35.85,66.31,NA,NA,NA,NA,NA,NA,NA,NA,62291_0001
62291,Eleu-dit-Leauwette,0002,499,320,64.13,179,35.87,312,62.53,97.5,2,0.4,0.63,6,1.2,1.88,NA,128,25.65,41.03,NA,184,36.87,58.97,NA,NA,NA,NA,NA,NA,NA,NA,62291_0002
62291,Eleu-dit-Leauwette,0003,699,395,56.51,304,43.49,373,53.36,94.43,10,1.43,2.53,12,1.72,3.04,NA,155,22.17,41.55,NA,218,31.19,58.45,NA,NA,NA,NA,NA,NA,NA,NA,62291_0003
62311,Estevelles,0001,1673,1025,61.27,648,38.73,998,59.65,97.37,17,1.02,1.66,10,0.6,0.98,NA,191,11.42,19.14,NA,608,36.34,60.92,NA,199,11.89,19.94,NA,NA,NA,NA,62311_0001
62351,Fouquières-lès-Lens,0001,817,440,53.86,377,46.14,431,52.75,97.95,7,0.86,1.59,2,0.24,0.45,LDVG,116,14.2,26.91,LDVG,82,10.04,19.03,LUG,233,28.52,54.06,NA,NA,NA,NA,62351_0001
62351,Fouquières-lès-Lens,0002,756,452,59.79,304,40.21,418,55.29,92.48,19,2.51,4.2,15,1.98,3.32,LDVG,88,11.64,21.05,LDVG,105,13.89,25.12,LUG,225,29.76,53.83,NA,NA,NA,NA,62351_0002
62351,Fouquières-lès-Lens,0003,758,385,50.79,373,49.21,371,48.94,96.36,8,1.06,2.08,6,0.79,1.56,LDVG,118,15.57,31.81,LDVG,61,8.05,16.44,LUG,192,25.33,51.75,NA,NA,NA,NA,62351_0003
62351,Fouquières-lès-Lens,0004,739,368,49.8,371,50.2,356,48.17,96.74,7,0.95,1.9,5,0.68,1.36,LDVG,72,9.74,20.22,LDVG,95,12.86,26.69,LUG,189,25.58,53.09,NA,NA,NA,NA,62351_0004
62351,Fouquières-lès-Lens,0005,583,349,59.86,234,40.14,341,58.49,97.71,5,0.86,1.43,3,0.51,0.86,LDVG,98,16.81,28.74,LDVG,113,19.38,33.14,LUG,130,22.3,38.12,NA,NA,NA,NA,62351_0005
62351,Fouquières-lès-Lens,0006,650,431,66.31,219,33.69,421,64.77,97.68,4,0.62,0.93,6,0.92,1.39,LDVG,256,39.38,60.81,LDVG,36,5.54,8.55,LUG,129,19.85,30.64,NA,NA,NA,NA,62351_0006
62371,Givenchy-en-Gohelle,0001,669,436,65.17,233,34.83,353,52.77,80.96,45,6.73,10.32,38,5.68,8.72,NA,353,52.77,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62371_0001
62371,Givenchy-en-Gohelle,0002,910,597,65.6,313,34.4,516,56.7,86.43,57,6.26,9.55,24,2.64,4.02,NA,516,56.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62371_0002
62380,Gouy-Servins,0001,309,199,64.4,110,35.6,170,55.02,85.43,14,4.53,7.04,15,4.85,7.54,NA,170,55.02,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62380_0001
62386,Grenay,0001,1124,687,61.12,437,38.88,669,59.52,97.38,9,0.8,1.31,9,0.8,1.31,LDVG,182,16.19,27.2,LCOM,258,22.95,38.57,LRN,229,20.37,34.23,NA,NA,NA,NA,62386_0001
62386,Grenay,0002,927,523,56.42,404,43.58,517,55.77,98.85,1,0.11,0.19,5,0.54,0.96,LDVG,175,18.88,33.85,LCOM,179,19.31,34.62,LRN,163,17.58,31.53,NA,NA,NA,NA,62386_0002
62386,Grenay,0003,952,498,52.31,454,47.69,491,51.58,98.59,4,0.42,0.8,3,0.32,0.6,LDVG,158,16.6,32.18,LCOM,175,18.38,35.64,LRN,158,16.6,32.18,NA,NA,NA,NA,62386_0003
62386,Grenay,0004,776,445,57.35,331,42.65,437,56.31,98.2,5,0.64,1.12,3,0.39,0.67,LDVG,127,16.37,29.06,LCOM,173,22.29,39.59,LRN,137,17.65,31.35,NA,NA,NA,NA,62386_0004
62386,Grenay,0005,881,534,60.61,347,39.39,525,59.59,98.31,4,0.45,0.75,5,0.57,0.94,LDVG,148,16.8,28.19,LCOM,150,17.03,28.57,LRN,227,25.77,43.24,NA,NA,NA,NA,62386_0005
62413,Harnes,0001,1067,623,58.39,444,41.61,609,57.08,97.75,9,0.84,1.44,5,0.47,0.8,LRN,309,28.96,50.74,LDVG,211,19.78,34.65,LDVG,89,8.34,14.61,NA,NA,NA,NA,62413_0001
62413,Harnes,0002,1012,544,53.75,468,46.25,539,53.26,99.08,1,0.1,0.18,4,0.4,0.74,LRN,269,26.58,49.91,LDVG,147,14.53,27.27,LDVG,123,12.15,22.82,NA,NA,NA,NA,62413_0002
62413,Harnes,0003,1051,637,60.61,414,39.39,621,59.09,97.49,10,0.95,1.57,6,0.57,0.94,LRN,347,33.02,55.88,LDVG,181,17.22,29.15,LDVG,93,8.85,14.98,NA,NA,NA,NA,62413_0003
62413,Harnes,0004,1090,682,62.57,408,37.43,666,61.1,97.65,4,0.37,0.59,12,1.1,1.76,LRN,324,29.72,48.65,LDVG,214,19.63,32.13,LDVG,128,11.74,19.22,NA,NA,NA,NA,62413_0004
62413,Harnes,0005,950,581,61.16,369,38.84,574,60.42,98.8,4,0.42,0.69,3,0.32,0.52,LRN,293,30.84,51.05,LDVG,174,18.32,30.31,LDVG,107,11.26,18.64,NA,NA,NA,NA,62413_0005
62413,Harnes,0006,765,477,62.35,288,37.65,465,60.78,97.48,7,0.92,1.47,5,0.65,1.05,LRN,238,31.11,51.18,LDVG,160,20.92,34.41,LDVG,67,8.76,14.41,NA,NA,NA,NA,62413_0006
62413,Harnes,0007,891,580,65.1,311,34.9,564,63.3,97.24,12,1.35,2.07,4,0.45,0.69,LRN,295,33.11,52.3,LDVG,168,18.86,29.79,LDVG,101,11.34,17.91,NA,NA,NA,NA,62413_0007
62413,Harnes,0008,945,566,59.89,379,40.11,556,58.84,98.23,8,0.85,1.41,2,0.21,0.35,LRN,261,27.62,46.94,LDVG,186,19.68,33.45,LDVG,109,11.53,19.6,NA,NA,NA,NA,62413_0008
62413,Harnes,0009,848,413,48.7,435,51.3,407,48,98.55,3,0.35,0.73,3,0.35,0.73,LRN,179,21.11,43.98,LDVG,117,13.8,28.75,LDVG,111,13.09,27.27,NA,NA,NA,NA,62413_0009
62464,Hulluch,0001,773,408,52.78,365,47.22,379,49.03,92.89,11,1.42,2.7,18,2.33,4.41,NA,379,49.03,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62464_0001
